base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
301,1,rival_stochastic,False,1,0,nexto,781,6.508333333333334,Orange,True,orange,mid,-12.0,0,2,0,0,0,0,0,False,290.72650146484375,118.51962280273438
301,2,rival_stochastic,True,0,1,nexto,781,6.508333333333334,Orange,True,blue,mid,-12.0,0,2,0,0,0,0,0,False,290.92919921875,118.54454040527344
301,3,rival_stochastic,True,1,0,nexto,819,6.825,Blue,False,blue,mid,12.0,0,6,0,0,0,0,0,False,240.92660522460938,127.19026947021484
302,0,rival_stochastic,False,0,1,nexto,1503,12.525,Blue,False,orange,ground,-12.0,2,119,0,0,2,1,1,False,241.043212890625,134.0393829345703
302,1,rival_stochastic,False,1,0,nexto,1701,14.175,Orange,True,orange,ground,12.0,0,33,0,0,0,0,0,False,-517.8182373046875,211.4899444580078
302,2,rival_stochastic,True,0,1,nexto,1743,14.525,Orange,True,blue,ground,12.0,0,43,0,0,0,0,0,False,-385.4472961425781,93.1393051147461
302,3,rival_stochastic,True,1,0,nexto,1515,12.625,Blue,False,blue,ground,-12.0,2,99,0,0,2,1,1,False,-246.30697631835938,93.14083862304688
303,0,rival_stochastic,False,0,1,nexto,1260,10.5,Blue,True,middle,ground,18.444446563720703,2,14,0,0,2,1,1,False,-419.0760498046875,100.21061706542969
303,1,rival_stochastic,False,1,0,nexto,1198,9.983333333333333,Orange,False,middle,ground,-18.444446563720703,2,2,0,0,1,1,0,False,453.6372375488281,122.6133041381836
303,2,rival_stochastic,True,0,1,nexto,1149,9.575,Orange,False,middle,ground,-18.444446563720703,0,4,0,0,0,0,0,False,497.6897888183594,183.54319763183594
303,3,rival_stochastic,True,1,0,nexto,1261,10.508333333333333,Blue,True,middle,ground,18.444446563720703,2,11,0,0,2,1,1,False,93.50253295898438,101.98480987548828
304,0,rival_stochastic,False,0,1,nexto,1463,12.191666666666666,Blue,True,middle,ground,-6.444446563720703,0,6,0,0,0,0,0,False,-175.47042846679688,283.2008361816406
304,1,rival_stochastic,False,1,0,nexto,369,3.075,Orange,False,middle,ground,6.444446563720703,0,2,0,0,0,0,0,False,-130.62796020507812,113.01448059082031
304,2,rival_stochastic,True,0,1,nexto,369,3.075,Orange,False,middle,ground,6.444446563720703,0,2,0,0,0,0,0,False,-130.64967346191406,113.01557159423828
