checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,429,side0-layout4-slot429,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,430,side0-layout0-slot430,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,431,side0-layout1-slot431,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,432,side0-layout2-slot432,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,433,side0-layout3-slot433,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,434,side0-layout4-slot434,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,435,side0-layout0-slot435,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,436,side0-layout1-slot436,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,437,side0-layout2-slot437,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,438,side0-layout3-slot438,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,439,side0-layout4-slot439,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,440,side0-layout0-slot440,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,441,side0-layout1-slot441,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,442,side0-layout2-slot442,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,443,side0-layout3-slot443,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,444,side0-layout4-slot444,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,445,side0-layout0-slot445,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,446,side0-layout1-slot446,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,447,side0-layout2-slot447,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,448,side0-layout3-slot448,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,449,side0-layout4-slot449,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
